epoch, step  , train_loss          , train_loss_epoch
    0,   1220, 0.059674009680747986,  
    0,   2441, 0.05065210908651352 ,  
    0,   3662, 0.04608744755387306 ,  
    0,   4883, 0.04543498903512955 ,  
    0,   6103,                     , 0.052139103412628174
    1,   6104, 0.0452125146985054  ,  
    1,   7325, 0.04337708652019501 ,  
    1,   8546, 0.04548744112253189 ,  
    1,   9767, 0.0439477264881134  ,  
    1,  10988, 0.04396433010697365 ,  
    1,  12207,                     , 0.04361669719219208
    2,  12209, 0.04155035316944122 ,  
    2,  13430, 0.04040185362100601 ,  
    2,  14651, 0.04259686917066574 ,  
    2,  15872, 0.04005805030465126 ,  
    2,  17093, 0.04051363468170166 ,  
    2,  18311,                     , 0.04107677564024925
    3,  18314, 0.04014650732278824 ,  
    3,  19535, 0.03760688751935959 ,  
    3,  20756, 0.040153175592422485,  
    3,  21977, 0.03674798086285591 ,  
    3,  23198, 0.037959203124046326,  
    3,  24415,                     , 0.038765814155340195
    4,  24419, 0.037550799548625946,  
    4,  25640, 0.036423664540052414,  
    4,  26861, 0.03817467391490936 ,  
    4,  28082, 0.037615515291690826,  
    4,  29303, 0.03629271686077118 ,  
    4,  30519,                     , 0.037023913115262985
    5,  30524, 0.0367143377661705  ,  
    5,  31745, 0.036045610904693604,  
    5,  32966, 0.03655027598142624 ,  
    5,  34187, 0.03448045998811722 ,  
    5,  35408, 0.03611688315868378 ,  
    5,  36623,                     , 0.03561869636178017
    6,  36629, 0.033678099513053894,  
    6,  37850, 0.03473808616399765 ,  
    6,  39071, 0.03523879498243332 ,  
    6,  40292, 0.03252594172954559 ,  
    6,  41513, 0.03584242984652519 ,  
    6,  42727,                     , 0.03444889560341835
    7,  42734, 0.032725878059864044,  
    7,  43955, 0.033651500940322876,  
    7,  45176, 0.03506990522146225 ,  
    7,  46397, 0.03326674550771713 ,  
    7,  47618, 0.0322895273566246  ,  
    7,  48831,                     , 0.033534228801727295
    8,  48839, 0.034066129475831985,  
    8,  50060, 0.032752625644207   ,  
    8,  51281, 0.03289077430963516 ,  
    8,  52502, 0.03306177258491516 ,  
    8,  53723, 0.03331807255744934 ,  
    8,  54935,                     , 0.03275429084897041
    9,  54944, 0.03294394910335541 ,  
    9,  56165, 0.03102961927652359 ,  
    9,  57386, 0.03167309612035751 ,  
    9,  58607, 0.03229496628046036 ,  
    9,  59828, 0.031853727996349335,  
    9,  61039,                     , 0.032119762152433395
   10,  61049, 0.03192157298326492 ,  
   10,  62270, 0.030260393396019936,  
   10,  63491, 0.03322703763842583 ,  
   10,  64712, 0.030651934444904327,  
   10,  65933, 0.03148375824093819 ,  
   10,  67143,                     , 0.03155058994889259
   11,  67154, 0.030897609889507294,  
   11,  68375, 0.0303250253200531  ,  
   11,  69596, 0.031693726778030396,  
   11,  70817, 0.02895699068903923 ,  
   11,  72038, 0.030334070324897766,  
   11,  73247,                     , 0.031015001237392426
   12,  73259, 0.03104706108570099 ,  
   12,  74480, 0.02995220385491848 ,  
   12,  75701, 0.031163044273853302,  
   12,  76922, 0.029368355870246887,  
   12,  78143, 0.030733611434698105,  
   12,  79351,                     , 0.030627522617578506
   13,  79364, 0.02941996604204178 ,  
   13,  80585, 0.03011249378323555 ,  
   13,  81806, 0.030428022146224976,  
   13,  83027, 0.02997589111328125 ,  
   13,  84248, 0.031364165246486664,  
   13,  85455,                     , 0.03024514950811863
   14,  85469, 0.029108423739671707,  
   14,  86690, 0.029449211433529854,  
   14,  87911, 0.03069290891289711 ,  
   14,  89132, 0.028931327164173126,  
   14,  90353, 0.03195461630821228 ,  
   14,  91559,                     , 0.029894430190324783
   15,  91574, 0.02944554015994072 ,  
   15,  92795, 0.027675971388816833,  
   15,  94016, 0.030068982392549515,  
   15,  95237, 0.029758267104625702,  
   15,  96458, 0.0294480100274086  ,  
   15,  97663,                     , 0.02951754443347454
   16,  97679, 0.029518064111471176,  
   16,  98900, 0.02863588184118271 ,  
   16, 100121, 0.030321400612592697,  
